                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54535,                0.92243,                0.94529,                0.65551,                0.15864,                0.15957,                0.12723,                 1.6272,                 3.1942,                 1.6505,             0.00038507,             0.00038507,             0.00038507
                     36,                0.54552,                0.86597,                0.96677,                0.58065,                0.18889,                0.18358,                0.12546,                 1.7191,                 3.2541,                 1.6524,             0.00036307,             0.00036307,             0.00036307
                     37,                0.53539,                0.85783,                0.93382,                0.59241,                 0.1627,                0.16108,                0.13178,                 1.6562,                 3.1039,                 1.6458,             0.00034108,             0.00034108,             0.00034108
                     38,                0.54319,                0.86608,                0.94652,                 0.1762,                0.21111,                0.15364,                0.10445,                 1.6251,                 2.9995,                 1.5888,             0.00031908,             0.00031908,             0.00031908
                     39,                0.52544,                0.89103,                0.92304,                0.78986,                0.18889,                0.19787,                0.14872,                 1.5718,                 2.8684,                 1.5354,             0.00029708,             0.00029708,             0.00029708
                     40,                 0.5211,                0.84024,                0.93328,                  0.789,                0.18889,                0.19782,                0.14402,                 1.5742,                 2.9652,                 1.5167,             0.00027508,             0.00027508,             0.00027508
                     41,                0.43676,                0.80549,                 0.9054,                0.23578,                0.21111,                0.16188,                0.11281,                 1.7561,                 2.9831,                 1.6201,             0.00025309,             0.00025309,             0.00025309
                     42,                0.43884,                0.65369,                0.90193,                0.80134,                0.18716,                0.19988,                0.14914,                 1.5764,                 2.9139,                 1.5395,             0.00023109,             0.00023109,             0.00023109
                     43,                0.52318,                 0.7458,                0.91622,                 0.5879,                0.18889,                0.19533,                0.14781,                 1.4643,                 2.8376,                 1.4856,             0.00020909,             0.00020909,             0.00020909
                     44,                0.45439,                0.65652,                0.92593,                0.82852,                0.18889,                0.18963,                0.14289,                 1.4038,                 2.8495,                 1.3826,             0.00018709,             0.00018709,             0.00018709
                     45,                0.43676,                0.64216,                0.91385,                0.76843,                0.16667,                0.18549,                0.13668,                 1.4941,                 2.8149,                 1.4023,             0.00016509,             0.00016509,             0.00016509
                     46,                 0.4201,                0.68926,                0.90593,                0.79556,                0.16667,                0.18887,                0.13766,                 1.4999,                 2.9904,                 1.4468,              0.0001431,              0.0001431,              0.0001431
                     47,                0.40313,                0.59577,                 0.9021,                0.62392,                0.16667,                0.18397,                0.13887,                 1.5217,                 3.1289,                 1.6092,              0.0001211,              0.0001211,              0.0001211
                     48,                0.44019,                0.58047,                0.91985,                0.22018,                0.20498,                 0.1704,                0.11882,                 1.5056,                 3.1579,                 1.5039,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.43467,                0.58349,                 0.9204,                 0.7952,                0.16667,                0.20013,                0.14259,                 1.5058,                 2.9556,                 1.5049,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.39067,                0.53471,                0.88819,                0.80532,                0.16667,                0.20028,                 0.1447,                 1.4771,                 2.8536,                 1.5121,             5.5106e-05,             5.5106e-05,             5.5106e-05
